
1682145423323 :: getCall ::  :: 1682145423323 :: 
1682148603057 :: orderBook ::  :: 1682148603206 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'clientId': 'XD08685', 'id': '23042200000536', 'exchOrdId': '', 'qty': 1, 'remainingQuantity': 1, 'filledQty': 0, 'discloseQty': 0, 'limitPrice': 543, 'stopPrice': 0, 'tradedPrice': 0, 'type': 1, 'fyToken': '10100000003045', 'exchange': 10, 'segment': 10, 'symbol': 'NSE:SBIN-EQ', 'instrument': 0, 'message': '', 'offlineOrder': True, 'orderDateTime': '22-Apr-2023 12:21:25', 'orderValidity': 'DAY', 'pan': '', 'productType': 'INTRADAY', 'side': -1, 'status': 6, 'source': 'API', 'ex_sym': 'SBIN', 'description': 'STATE BANK OF INDIA', 'ch': 2.85, 'chp': 0.53, 'lp': 543.15, 'slNo': 5, 'dqQtyRem': 0, 'orderNumStatus': '23042200000536:6', 'disclosedQty': 0}]}

1682148603209 :: orderBook ::  :: 1682148603402 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'clientId': 'XD08685', 'id': '23042200000536', 'exchOrdId': '', 'qty': 1, 'remainingQuantity': 1, 'filledQty': 0, 'discloseQty': 0, 'limitPrice': 543, 'stopPrice': 0, 'tradedPrice': 0, 'type': 1, 'fyToken': '10100000003045', 'exchange': 10, 'segment': 10, 'symbol': 'NSE:SBIN-EQ', 'instrument': 0, 'message': '', 'offlineOrder': True, 'orderDateTime': '22-Apr-2023 12:21:25', 'orderValidity': 'DAY', 'pan': '', 'productType': 'INTRADAY', 'side': -1, 'status': 6, 'source': 'API', 'ex_sym': 'SBIN', 'description': 'STATE BANK OF INDIA', 'ch': 2.85, 'chp': 0.53, 'lp': 543.15, 'slNo': 5, 'dqQtyRem': 0, 'orderNumStatus': '23042200000536:6', 'disclosedQty': 0}]}

1682148603405 :: orderBook ::  :: 1682148603577 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'clientId': 'XD08685', 'id': '23042200000536', 'exchOrdId': '', 'qty': 1, 'remainingQuantity': 1, 'filledQty': 0, 'discloseQty': 0, 'limitPrice': 543, 'stopPrice': 0, 'tradedPrice': 0, 'type': 1, 'fyToken': '10100000003045', 'exchange': 10, 'segment': 10, 'symbol': 'NSE:SBIN-EQ', 'instrument': 0, 'message': '', 'offlineOrder': True, 'orderDateTime': '22-Apr-2023 12:21:25', 'orderValidity': 'DAY', 'pan': '', 'productType': 'INTRADAY', 'side': -1, 'status': 6, 'source': 'API', 'ex_sym': 'SBIN', 'description': 'STATE BANK OF INDIA', 'ch': 2.85, 'chp': 0.53, 'lp': 543.15, 'slNo': 5, 'dqQtyRem': 0, 'orderNumStatus': '23042200000536:6', 'disclosedQty': 0}]}

1682148603580 :: orderBook ::  :: 1682148603740 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'clientId': 'XD08685', 'id': '23042200000536', 'exchOrdId': '', 'qty': 1, 'remainingQuantity': 1, 'filledQty': 0, 'discloseQty': 0, 'limitPrice': 543, 'stopPrice': 0, 'tradedPrice': 0, 'type': 1, 'fyToken': '10100000003045', 'exchange': 10, 'segment': 10, 'symbol': 'NSE:SBIN-EQ', 'instrument': 0, 'message': '', 'offlineOrder': True, 'orderDateTime': '22-Apr-2023 12:21:25', 'orderValidity': 'DAY', 'pan': '', 'productType': 'INTRADAY', 'side': -1, 'status': 6, 'source': 'API', 'ex_sym': 'SBIN', 'description': 'STATE BANK OF INDIA', 'ch': 2.85, 'chp': 0.53, 'lp': 543.15, 'slNo': 5, 'dqQtyRem': 0, 'orderNumStatus': '23042200000536:6', 'disclosedQty': 0}]}

1682148603743 :: orderBook ::  :: 1682148603925 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'clientId': 'XD08685', 'id': '23042200000536', 'exchOrdId': '', 'qty': 1, 'remainingQuantity': 1, 'filledQty': 0, 'discloseQty': 0, 'limitPrice': 543, 'stopPrice': 0, 'tradedPrice': 0, 'type': 1, 'fyToken': '10100000003045', 'exchange': 10, 'segment': 10, 'symbol': 'NSE:SBIN-EQ', 'instrument': 0, 'message': '', 'offlineOrder': True, 'orderDateTime': '22-Apr-2023 12:21:25', 'orderValidity': 'DAY', 'pan': '', 'productType': 'INTRADAY', 'side': -1, 'status': 6, 'source': 'API', 'ex_sym': 'SBIN', 'description': 'STATE BANK OF INDIA', 'ch': 2.85, 'chp': 0.53, 'lp': 543.15, 'slNo': 5, 'dqQtyRem': 0, 'orderNumStatus': '23042200000536:6', 'disclosedQty': 0}]}

1682148603929 :: orderBook ::  :: 1682148604074 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'clientId': 'XD08685', 'id': '23042200000536', 'exchOrdId': '', 'qty': 1, 'remainingQuantity': 1, 'filledQty': 0, 'discloseQty': 0, 'limitPrice': 543, 'stopPrice': 0, 'tradedPrice': 0, 'type': 1, 'fyToken': '10100000003045', 'exchange': 10, 'segment': 10, 'symbol': 'NSE:SBIN-EQ', 'instrument': 0, 'message': '', 'offlineOrder': True, 'orderDateTime': '22-Apr-2023 12:21:25', 'orderValidity': 'DAY', 'pan': '', 'productType': 'INTRADAY', 'side': -1, 'status': 6, 'source': 'API', 'ex_sym': 'SBIN', 'description': 'STATE BANK OF INDIA', 'ch': 2.85, 'chp': 0.53, 'lp': 543.15, 'slNo': 5, 'dqQtyRem': 0, 'orderNumStatus': '23042200000536:6', 'disclosedQty': 0}]}

1682148604078 :: orderBook ::  :: 1682148604261 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'clientId': 'XD08685', 'id': '23042200000536', 'exchOrdId': '', 'qty': 1, 'remainingQuantity': 1, 'filledQty': 0, 'discloseQty': 0, 'limitPrice': 543, 'stopPrice': 0, 'tradedPrice': 0, 'type': 1, 'fyToken': '10100000003045', 'exchange': 10, 'segment': 10, 'symbol': 'NSE:SBIN-EQ', 'instrument': 0, 'message': '', 'offlineOrder': True, 'orderDateTime': '22-Apr-2023 12:21:25', 'orderValidity': 'DAY', 'pan': '', 'productType': 'INTRADAY', 'side': -1, 'status': 6, 'source': 'API', 'ex_sym': 'SBIN', 'description': 'STATE BANK OF INDIA', 'ch': 2.85, 'chp': 0.53, 'lp': 543.15, 'slNo': 5, 'dqQtyRem': 0, 'orderNumStatus': '23042200000536:6', 'disclosedQty': 0}]}

1682148604264 :: orderBook ::  :: 1682148604749 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'clientId': 'XD08685', 'id': '23042200000536', 'exchOrdId': '', 'qty': 1, 'remainingQuantity': 1, 'filledQty': 0, 'discloseQty': 0, 'limitPrice': 543, 'stopPrice': 0, 'tradedPrice': 0, 'type': 1, 'fyToken': '10100000003045', 'exchange': 10, 'segment': 10, 'symbol': 'NSE:SBIN-EQ', 'instrument': 0, 'message': '', 'offlineOrder': True, 'orderDateTime': '22-Apr-2023 12:21:25', 'orderValidity': 'DAY', 'pan': '', 'productType': 'INTRADAY', 'side': -1, 'status': 6, 'source': 'API', 'ex_sym': 'SBIN', 'description': 'STATE BANK OF INDIA', 'ch': 2.85, 'chp': 0.53, 'lp': 543.15, 'slNo': 5, 'dqQtyRem': 0, 'orderNumStatus': '23042200000536:6', 'disclosedQty': 0}]}

1682148604753 :: orderBook ::  :: 1682148604933 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'clientId': 'XD08685', 'id': '23042200000536', 'exchOrdId': '', 'qty': 1, 'remainingQuantity': 1, 'filledQty': 0, 'discloseQty': 0, 'limitPrice': 543, 'stopPrice': 0, 'tradedPrice': 0, 'type': 1, 'fyToken': '10100000003045', 'exchange': 10, 'segment': 10, 'symbol': 'NSE:SBIN-EQ', 'instrument': 0, 'message': '', 'offlineOrder': True, 'orderDateTime': '22-Apr-2023 12:21:25', 'orderValidity': 'DAY', 'pan': '', 'productType': 'INTRADAY', 'side': -1, 'status': 6, 'source': 'API', 'ex_sym': 'SBIN', 'description': 'STATE BANK OF INDIA', 'ch': 2.85, 'chp': 0.53, 'lp': 543.15, 'slNo': 5, 'dqQtyRem': 0, 'orderNumStatus': '23042200000536:6', 'disclosedQty': 0}]}

1682148604936 :: orderBook ::  :: 1682148605124 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'clientId': 'XD08685', 'id': '23042200000536', 'exchOrdId': '', 'qty': 1, 'remainingQuantity': 1, 'filledQty': 0, 'discloseQty': 0, 'limitPrice': 543, 'stopPrice': 0, 'tradedPrice': 0, 'type': 1, 'fyToken': '10100000003045', 'exchange': 10, 'segment': 10, 'symbol': 'NSE:SBIN-EQ', 'instrument': 0, 'message': '', 'offlineOrder': True, 'orderDateTime': '22-Apr-2023 12:21:25', 'orderValidity': 'DAY', 'pan': '', 'productType': 'INTRADAY', 'side': -1, 'status': 6, 'source': 'API', 'ex_sym': 'SBIN', 'description': 'STATE BANK OF INDIA', 'ch': 2.85, 'chp': 0.53, 'lp': 543.15, 'slNo': 5, 'dqQtyRem': 0, 'orderNumStatus': '23042200000536:6', 'disclosedQty': 0}]}

1682148605127 :: orderBook ::  :: 1682148605282 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'clientId': 'XD08685', 'id': '23042200000536', 'exchOrdId': '', 'qty': 1, 'remainingQuantity': 1, 'filledQty': 0, 'discloseQty': 0, 'limitPrice': 543, 'stopPrice': 0, 'tradedPrice': 0, 'type': 1, 'fyToken': '10100000003045', 'exchange': 10, 'segment': 10, 'symbol': 'NSE:SBIN-EQ', 'instrument': 0, 'message': '', 'offlineOrder': True, 'orderDateTime': '22-Apr-2023 12:21:25', 'orderValidity': 'DAY', 'pan': '', 'productType': 'INTRADAY', 'side': -1, 'status': 6, 'source': 'API', 'ex_sym': 'SBIN', 'description': 'STATE BANK OF INDIA', 'ch': 2.85, 'chp': 0.53, 'lp': 543.15, 'slNo': 5, 'dqQtyRem': 0, 'orderNumStatus': '23042200000536:6', 'disclosedQty': 0}]}

1682148605285 :: orderBook ::  :: 1682148605461 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'clientId': 'XD08685', 'id': '23042200000536', 'exchOrdId': '', 'qty': 1, 'remainingQuantity': 1, 'filledQty': 0, 'discloseQty': 0, 'limitPrice': 543, 'stopPrice': 0, 'tradedPrice': 0, 'type': 1, 'fyToken': '10100000003045', 'exchange': 10, 'segment': 10, 'symbol': 'NSE:SBIN-EQ', 'instrument': 0, 'message': '', 'offlineOrder': True, 'orderDateTime': '22-Apr-2023 12:21:25', 'orderValidity': 'DAY', 'pan': '', 'productType': 'INTRADAY', 'side': -1, 'status': 6, 'source': 'API', 'ex_sym': 'SBIN', 'description': 'STATE BANK OF INDIA', 'ch': 2.85, 'chp': 0.53, 'lp': 543.15, 'slNo': 5, 'dqQtyRem': 0, 'orderNumStatus': '23042200000536:6', 'disclosedQty': 0}]}

1682148605464 :: orderBook ::  :: 1682148605618 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'clientId': 'XD08685', 'id': '23042200000536', 'exchOrdId': '', 'qty': 1, 'remainingQuantity': 1, 'filledQty': 0, 'discloseQty': 0, 'limitPrice': 543, 'stopPrice': 0, 'tradedPrice': 0, 'type': 1, 'fyToken': '10100000003045', 'exchange': 10, 'segment': 10, 'symbol': 'NSE:SBIN-EQ', 'instrument': 0, 'message': '', 'offlineOrder': True, 'orderDateTime': '22-Apr-2023 12:21:25', 'orderValidity': 'DAY', 'pan': '', 'productType': 'INTRADAY', 'side': -1, 'status': 6, 'source': 'API', 'ex_sym': 'SBIN', 'description': 'STATE BANK OF INDIA', 'ch': 2.85, 'chp': 0.53, 'lp': 543.15, 'slNo': 5, 'dqQtyRem': 0, 'orderNumStatus': '23042200000536:6', 'disclosedQty': 0}]}

1682148605621 :: orderBook ::  :: 1682148605817 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'clientId': 'XD08685', 'id': '23042200000536', 'exchOrdId': '', 'qty': 1, 'remainingQuantity': 1, 'filledQty': 0, 'discloseQty': 0, 'limitPrice': 543, 'stopPrice': 0, 'tradedPrice': 0, 'type': 1, 'fyToken': '10100000003045', 'exchange': 10, 'segment': 10, 'symbol': 'NSE:SBIN-EQ', 'instrument': 0, 'message': '', 'offlineOrder': True, 'orderDateTime': '22-Apr-2023 12:21:25', 'orderValidity': 'DAY', 'pan': '', 'productType': 'INTRADAY', 'side': -1, 'status': 6, 'source': 'API', 'ex_sym': 'SBIN', 'description': 'STATE BANK OF INDIA', 'ch': 2.85, 'chp': 0.53, 'lp': 543.15, 'slNo': 5, 'dqQtyRem': 0, 'orderNumStatus': '23042200000536:6', 'disclosedQty': 0}]}

1682148605819 :: orderBook ::  :: 1682148606018 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'clientId': 'XD08685', 'id': '23042200000536', 'exchOrdId': '', 'qty': 1, 'remainingQuantity': 1, 'filledQty': 0, 'discloseQty': 0, 'limitPrice': 543, 'stopPrice': 0, 'tradedPrice': 0, 'type': 1, 'fyToken': '10100000003045', 'exchange': 10, 'segment': 10, 'symbol': 'NSE:SBIN-EQ', 'instrument': 0, 'message': '', 'offlineOrder': True, 'orderDateTime': '22-Apr-2023 12:21:25', 'orderValidity': 'DAY', 'pan': '', 'productType': 'INTRADAY', 'side': -1, 'status': 6, 'source': 'API', 'ex_sym': 'SBIN', 'description': 'STATE BANK OF INDIA', 'ch': 2.85, 'chp': 0.53, 'lp': 543.15, 'slNo': 5, 'dqQtyRem': 0, 'orderNumStatus': '23042200000536:6', 'disclosedQty': 0}]}

1682148606021 :: orderBook ::  :: 1682148606187 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'clientId': 'XD08685', 'id': '23042200000536', 'exchOrdId': '', 'qty': 1, 'remainingQuantity': 1, 'filledQty': 0, 'discloseQty': 0, 'limitPrice': 543, 'stopPrice': 0, 'tradedPrice': 0, 'type': 1, 'fyToken': '10100000003045', 'exchange': 10, 'segment': 10, 'symbol': 'NSE:SBIN-EQ', 'instrument': 0, 'message': '', 'offlineOrder': True, 'orderDateTime': '22-Apr-2023 12:21:25', 'orderValidity': 'DAY', 'pan': '', 'productType': 'INTRADAY', 'side': -1, 'status': 6, 'source': 'API', 'ex_sym': 'SBIN', 'description': 'STATE BANK OF INDIA', 'ch': 2.85, 'chp': 0.53, 'lp': 543.15, 'slNo': 5, 'dqQtyRem': 0, 'orderNumStatus': '23042200000536:6', 'disclosedQty': 0}]}

1682148606190 :: orderBook ::  :: 1682148606343 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'clientId': 'XD08685', 'id': '23042200000536', 'exchOrdId': '', 'qty': 1, 'remainingQuantity': 1, 'filledQty': 0, 'discloseQty': 0, 'limitPrice': 543, 'stopPrice': 0, 'tradedPrice': 0, 'type': 1, 'fyToken': '10100000003045', 'exchange': 10, 'segment': 10, 'symbol': 'NSE:SBIN-EQ', 'instrument': 0, 'message': '', 'offlineOrder': True, 'orderDateTime': '22-Apr-2023 12:21:25', 'orderValidity': 'DAY', 'pan': '', 'productType': 'INTRADAY', 'side': -1, 'status': 6, 'source': 'API', 'ex_sym': 'SBIN', 'description': 'STATE BANK OF INDIA', 'ch': 2.85, 'chp': 0.53, 'lp': 543.15, 'slNo': 5, 'dqQtyRem': 0, 'orderNumStatus': '23042200000536:6', 'disclosedQty': 0}]}

1682148606346 :: orderBook ::  :: 1682148606553 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'clientId': 'XD08685', 'id': '23042200000536', 'exchOrdId': '', 'qty': 1, 'remainingQuantity': 1, 'filledQty': 0, 'discloseQty': 0, 'limitPrice': 543, 'stopPrice': 0, 'tradedPrice': 0, 'type': 1, 'fyToken': '10100000003045', 'exchange': 10, 'segment': 10, 'symbol': 'NSE:SBIN-EQ', 'instrument': 0, 'message': '', 'offlineOrder': True, 'orderDateTime': '22-Apr-2023 12:21:25', 'orderValidity': 'DAY', 'pan': '', 'productType': 'INTRADAY', 'side': -1, 'status': 6, 'source': 'API', 'ex_sym': 'SBIN', 'description': 'STATE BANK OF INDIA', 'ch': 2.85, 'chp': 0.53, 'lp': 543.15, 'slNo': 5, 'dqQtyRem': 0, 'orderNumStatus': '23042200000536:6', 'disclosedQty': 0}]}

1682148606556 :: orderBook ::  :: 1682148606750 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'clientId': 'XD08685', 'id': '23042200000536', 'exchOrdId': '', 'qty': 1, 'remainingQuantity': 1, 'filledQty': 0, 'discloseQty': 0, 'limitPrice': 543, 'stopPrice': 0, 'tradedPrice': 0, 'type': 1, 'fyToken': '10100000003045', 'exchange': 10, 'segment': 10, 'symbol': 'NSE:SBIN-EQ', 'instrument': 0, 'message': '', 'offlineOrder': True, 'orderDateTime': '22-Apr-2023 12:21:25', 'orderValidity': 'DAY', 'pan': '', 'productType': 'INTRADAY', 'side': -1, 'status': 6, 'source': 'API', 'ex_sym': 'SBIN', 'description': 'STATE BANK OF INDIA', 'ch': 2.85, 'chp': 0.53, 'lp': 543.15, 'slNo': 5, 'dqQtyRem': 0, 'orderNumStatus': '23042200000536:6', 'disclosedQty': 0}]}

1682148606753 :: orderBook ::  :: 1682148606933 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'clientId': 'XD08685', 'id': '23042200000536', 'exchOrdId': '', 'qty': 1, 'remainingQuantity': 1, 'filledQty': 0, 'discloseQty': 0, 'limitPrice': 543, 'stopPrice': 0, 'tradedPrice': 0, 'type': 1, 'fyToken': '10100000003045', 'exchange': 10, 'segment': 10, 'symbol': 'NSE:SBIN-EQ', 'instrument': 0, 'message': '', 'offlineOrder': True, 'orderDateTime': '22-Apr-2023 12:21:25', 'orderValidity': 'DAY', 'pan': '', 'productType': 'INTRADAY', 'side': -1, 'status': 6, 'source': 'API', 'ex_sym': 'SBIN', 'description': 'STATE BANK OF INDIA', 'ch': 2.85, 'chp': 0.53, 'lp': 543.15, 'slNo': 5, 'dqQtyRem': 0, 'orderNumStatus': '23042200000536:6', 'disclosedQty': 0}]}

1682148606938 :: orderBook ::  :: 1682148607124 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'clientId': 'XD08685', 'id': '23042200000536', 'exchOrdId': '', 'qty': 1, 'remainingQuantity': 1, 'filledQty': 0, 'discloseQty': 0, 'limitPrice': 543, 'stopPrice': 0, 'tradedPrice': 0, 'type': 1, 'fyToken': '10100000003045', 'exchange': 10, 'segment': 10, 'symbol': 'NSE:SBIN-EQ', 'instrument': 0, 'message': '', 'offlineOrder': True, 'orderDateTime': '22-Apr-2023 12:21:25', 'orderValidity': 'DAY', 'pan': '', 'productType': 'INTRADAY', 'side': -1, 'status': 6, 'source': 'API', 'ex_sym': 'SBIN', 'description': 'STATE BANK OF INDIA', 'ch': 2.85, 'chp': 0.53, 'lp': 543.15, 'slNo': 5, 'dqQtyRem': 0, 'orderNumStatus': '23042200000536:6', 'disclosedQty': 0}]}

1682148607126 :: orderBook ::  :: 1682148607313 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'clientId': 'XD08685', 'id': '23042200000536', 'exchOrdId': '', 'qty': 1, 'remainingQuantity': 1, 'filledQty': 0, 'discloseQty': 0, 'limitPrice': 543, 'stopPrice': 0, 'tradedPrice': 0, 'type': 1, 'fyToken': '10100000003045', 'exchange': 10, 'segment': 10, 'symbol': 'NSE:SBIN-EQ', 'instrument': 0, 'message': '', 'offlineOrder': True, 'orderDateTime': '22-Apr-2023 12:21:25', 'orderValidity': 'DAY', 'pan': '', 'productType': 'INTRADAY', 'side': -1, 'status': 6, 'source': 'API', 'ex_sym': 'SBIN', 'description': 'STATE BANK OF INDIA', 'ch': 2.85, 'chp': 0.53, 'lp': 543.15, 'slNo': 5, 'dqQtyRem': 0, 'orderNumStatus': '23042200000536:6', 'disclosedQty': 0}]}

1682148607316 :: orderBook ::  :: 1682148607490 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'clientId': 'XD08685', 'id': '23042200000536', 'exchOrdId': '', 'qty': 1, 'remainingQuantity': 1, 'filledQty': 0, 'discloseQty': 0, 'limitPrice': 543, 'stopPrice': 0, 'tradedPrice': 0, 'type': 1, 'fyToken': '10100000003045', 'exchange': 10, 'segment': 10, 'symbol': 'NSE:SBIN-EQ', 'instrument': 0, 'message': '', 'offlineOrder': True, 'orderDateTime': '22-Apr-2023 12:21:25', 'orderValidity': 'DAY', 'pan': '', 'productType': 'INTRADAY', 'side': -1, 'status': 6, 'source': 'API', 'ex_sym': 'SBIN', 'description': 'STATE BANK OF INDIA', 'ch': 2.85, 'chp': 0.53, 'lp': 543.15, 'slNo': 5, 'dqQtyRem': 0, 'orderNumStatus': '23042200000536:6', 'disclosedQty': 0}]}

1682148607493 :: orderBook ::  :: 1682148607704 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'clientId': 'XD08685', 'id': '23042200000536', 'exchOrdId': '', 'qty': 1, 'remainingQuantity': 1, 'filledQty': 0, 'discloseQty': 0, 'limitPrice': 543, 'stopPrice': 0, 'tradedPrice': 0, 'type': 1, 'fyToken': '10100000003045', 'exchange': 10, 'segment': 10, 'symbol': 'NSE:SBIN-EQ', 'instrument': 0, 'message': '', 'offlineOrder': True, 'orderDateTime': '22-Apr-2023 12:21:25', 'orderValidity': 'DAY', 'pan': '', 'productType': 'INTRADAY', 'side': -1, 'status': 6, 'source': 'API', 'ex_sym': 'SBIN', 'description': 'STATE BANK OF INDIA', 'ch': 2.85, 'chp': 0.53, 'lp': 543.15, 'slNo': 5, 'dqQtyRem': 0, 'orderNumStatus': '23042200000536:6', 'disclosedQty': 0}]}

1682148607706 :: orderBook ::  :: 1682148607903 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'clientId': 'XD08685', 'id': '23042200000536', 'exchOrdId': '', 'qty': 1, 'remainingQuantity': 1, 'filledQty': 0, 'discloseQty': 0, 'limitPrice': 543, 'stopPrice': 0, 'tradedPrice': 0, 'type': 1, 'fyToken': '10100000003045', 'exchange': 10, 'segment': 10, 'symbol': 'NSE:SBIN-EQ', 'instrument': 0, 'message': '', 'offlineOrder': True, 'orderDateTime': '22-Apr-2023 12:21:25', 'orderValidity': 'DAY', 'pan': '', 'productType': 'INTRADAY', 'side': -1, 'status': 6, 'source': 'API', 'ex_sym': 'SBIN', 'description': 'STATE BANK OF INDIA', 'ch': 2.85, 'chp': 0.53, 'lp': 543.15, 'slNo': 5, 'dqQtyRem': 0, 'orderNumStatus': '23042200000536:6', 'disclosedQty': 0}]}

1682148607907 :: orderBook ::  :: 1682148608070 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'clientId': 'XD08685', 'id': '23042200000536', 'exchOrdId': '', 'qty': 1, 'remainingQuantity': 1, 'filledQty': 0, 'discloseQty': 0, 'limitPrice': 543, 'stopPrice': 0, 'tradedPrice': 0, 'type': 1, 'fyToken': '10100000003045', 'exchange': 10, 'segment': 10, 'symbol': 'NSE:SBIN-EQ', 'instrument': 0, 'message': '', 'offlineOrder': True, 'orderDateTime': '22-Apr-2023 12:21:25', 'orderValidity': 'DAY', 'pan': '', 'productType': 'INTRADAY', 'side': -1, 'status': 6, 'source': 'API', 'ex_sym': 'SBIN', 'description': 'STATE BANK OF INDIA', 'ch': 2.85, 'chp': 0.53, 'lp': 543.15, 'slNo': 5, 'dqQtyRem': 0, 'orderNumStatus': '23042200000536:6', 'disclosedQty': 0}]}

1682148608073 :: orderBook ::  :: 1682148608245 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'clientId': 'XD08685', 'id': '23042200000536', 'exchOrdId': '', 'qty': 1, 'remainingQuantity': 1, 'filledQty': 0, 'discloseQty': 0, 'limitPrice': 543, 'stopPrice': 0, 'tradedPrice': 0, 'type': 1, 'fyToken': '10100000003045', 'exchange': 10, 'segment': 10, 'symbol': 'NSE:SBIN-EQ', 'instrument': 0, 'message': '', 'offlineOrder': True, 'orderDateTime': '22-Apr-2023 12:21:25', 'orderValidity': 'DAY', 'pan': '', 'productType': 'INTRADAY', 'side': -1, 'status': 6, 'source': 'API', 'ex_sym': 'SBIN', 'description': 'STATE BANK OF INDIA', 'ch': 2.85, 'chp': 0.53, 'lp': 543.15, 'slNo': 5, 'dqQtyRem': 0, 'orderNumStatus': '23042200000536:6', 'disclosedQty': 0}]}

1682148608248 :: orderBook ::  :: 1682148608405 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'clientId': 'XD08685', 'id': '23042200000536', 'exchOrdId': '', 'qty': 1, 'remainingQuantity': 1, 'filledQty': 0, 'discloseQty': 0, 'limitPrice': 543, 'stopPrice': 0, 'tradedPrice': 0, 'type': 1, 'fyToken': '10100000003045', 'exchange': 10, 'segment': 10, 'symbol': 'NSE:SBIN-EQ', 'instrument': 0, 'message': '', 'offlineOrder': True, 'orderDateTime': '22-Apr-2023 12:21:25', 'orderValidity': 'DAY', 'pan': '', 'productType': 'INTRADAY', 'side': -1, 'status': 6, 'source': 'API', 'ex_sym': 'SBIN', 'description': 'STATE BANK OF INDIA', 'ch': 2.85, 'chp': 0.53, 'lp': 543.15, 'slNo': 5, 'dqQtyRem': 0, 'orderNumStatus': '23042200000536:6', 'disclosedQty': 0}]}

1682148608407 :: orderBook ::  :: 1682148608606 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'clientId': 'XD08685', 'id': '23042200000536', 'exchOrdId': '', 'qty': 1, 'remainingQuantity': 1, 'filledQty': 0, 'discloseQty': 0, 'limitPrice': 543, 'stopPrice': 0, 'tradedPrice': 0, 'type': 1, 'fyToken': '10100000003045', 'exchange': 10, 'segment': 10, 'symbol': 'NSE:SBIN-EQ', 'instrument': 0, 'message': '', 'offlineOrder': True, 'orderDateTime': '22-Apr-2023 12:21:25', 'orderValidity': 'DAY', 'pan': '', 'productType': 'INTRADAY', 'side': -1, 'status': 6, 'source': 'API', 'ex_sym': 'SBIN', 'description': 'STATE BANK OF INDIA', 'ch': 2.85, 'chp': 0.53, 'lp': 543.15, 'slNo': 5, 'dqQtyRem': 0, 'orderNumStatus': '23042200000536:6', 'disclosedQty': 0}]}

1682148608610 :: orderBook ::  :: 1682148608785 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'clientId': 'XD08685', 'id': '23042200000536', 'exchOrdId': '', 'qty': 1, 'remainingQuantity': 1, 'filledQty': 0, 'discloseQty': 0, 'limitPrice': 543, 'stopPrice': 0, 'tradedPrice': 0, 'type': 1, 'fyToken': '10100000003045', 'exchange': 10, 'segment': 10, 'symbol': 'NSE:SBIN-EQ', 'instrument': 0, 'message': '', 'offlineOrder': True, 'orderDateTime': '22-Apr-2023 12:21:25', 'orderValidity': 'DAY', 'pan': '', 'productType': 'INTRADAY', 'side': -1, 'status': 6, 'source': 'API', 'ex_sym': 'SBIN', 'description': 'STATE BANK OF INDIA', 'ch': 2.85, 'chp': 0.53, 'lp': 543.15, 'slNo': 5, 'dqQtyRem': 0, 'orderNumStatus': '23042200000536:6', 'disclosedQty': 0}]}

